,직종코드,직종명,상위단계 직종코드
0,011100,의회의원·고위공무원 및 공공단체임원,011
1,011200,기업 고위임원,011
2,012100,정부행정 관리자,011
3,012200,경영지원 관리자,011
4,012201,경영기획 부서장,011
5,012202,인사·노무·교육·총무·감사 부서장,011
6,012203,자재·구매 부서장,011
7,012204,재무·회계·경리 부서장,011
8,012205,기타 경영지원 서비스 관리자,011
9,012300,마케팅·광고·홍보 관리자(부서장),011
10,012400,금융·보험 관리자(부서장),011
11,013100,연구 관리자,012
12,013200,교육 관리자(부서장),012
13,013300,법률·경찰·소방·교도 관리자,012
14,013400,보건·의료 관리자(부서장),012
15,013500,사회복지 관리자(부서장),012
16,013600,예술·디자인·방송 관리자(부서장),012
17,013700,정보통신 관리자(부서장),012
18,013900,부동산·조사·인력알선 및 기타 전문서비스 관리자,012
19,013901,부동산·임대업 관리자,012
20,013902,아파트 관리소장,012
21,013903,빌딩 관리소장,012
22,013904,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)",012
23,014100,미용·여행·숙박·스포츠 관리자,012
24,014101,미용·여행·숙박 관리자,013
25,014102,스포츠 관리자,013
26,014200,음식서비스 관리자,013
27,014300,경비·청소 관리자,013
28,014301,경비 관리자,013
29,014302,환경·청소 관리자,013
30,015100,영업·판매 관리자,013
31,015101,영업 관리자(영업소장·지점장),013
32,015102,판매 관리자(소규모 판매점장 제외),013
33,015200,운송 관리자(부서장),013
34,015900,각종 단체 및 기타 고객서비스 관리자,013
35,016100,건설·채굴 관리자(부서장),014
36,016200,전기·가스·수도 관리자(부서장),014
37,016300,제조·생산 관리자,014
38,016301,기계·금속·비금속 제조 관리자(공장장),014
39,016302,화학 제조 관리자(공장장),014
40,016303,섬유·의류 제조 관리자(공장장),014
41,016304,전기·전자 제조 관리자(공장장),014
42,016305,식품가공 제조 관리자(공장장),014
43,016306,기타 제품 제조 관리자(공장장),014
44,016900,기타 건설·전기 및 제조 관리자,014
45,016901,수리·정비 관리자(부서장),014
46,016902,농림어업 및 기타 생산 관리자,014
47,021000,정부·공공행정 전문가,015
48,022100,경영 컨설턴트(M&A·창업·인증심사·FTA),015
49,022201,인사·노무 전문가,015
50,022202,HRD·교육·훈련 전문가,015
51,023100,회계사,015
52,023200,세무사,015
53,023301,관세사,015
54,023302,FTA 원산지관리사,015
55,023400,감정 전문가,015
56,023401,감정평가사,015
57,023402,감정사(문화재·보석·문서·음식료품 및 조향사),015
58,024101,광고·홍보 전문가,015
59,024102,마케팅 전문가,015
60,024200,조사 전문가,015
61,024301,상품 기획자,015
62,024302,머천다이저(MD),015
63,024400,행사 기획자,015
64,024401,행사·이벤트 기획자,015
65,024402,전시·회의 기획자,015
66,231400,직업상담사,015
67,025100,조세행정 사무원,016
68,025200,관세행정 사무원,016
69,025300,병무행정 사무원,016
70,025401,국가·지방행정 사무원,016
71,025402,군무원,016
72,025500,공공행정 사무원,016
73,026100,기획·마케팅 사무원,016
74,026101,경영 기획 사무원,017
75,026102,마케팅·광고·홍보·상품기획 사무원,017
76,026103,영업 기획·관리·지원 사무원,017
77,026104,분양·임대 사무원,017
78,026200,인사·교육·훈련 사무원,017
79,026201,인사 사무원,017
80,026202,노무 사무원,017
81,026203,교육·훈련 사무원,017
82,026300,총무 사무원 및 대학 행정조교,017
83,026301,총무 및 일반 사무원,017
84,026302,병원행정 사무원(원무),017
85,026303,학교행정 사무원(교무),017
86,026304,대학 행정조교,017
87,026305,협회·회원단체 사무원,017
88,026306,기숙사사감 및 독서실·고시원 총무,017
89,026400,감사 사무원,017
90,215200,대학 교육 조교(TA) 및 연구 조교(RA),017
91,222000,법률 사무원,017
92,027100,회계 사무원,018
93,027101,재무 사무원,018
94,027102,회계 사무원(회계·세무 사무소),018
95,027103,회계 사무원(일반 사업체),018
96,027200,경리 사무원,018
97,027201,경리 사무원(무역),018
98,027202,경리 사무원(운수),018
99,027203,경리 사무원(건설),018
100,027204,경리 사무원(제조),018
101,027205,경리 사무원(회계·세무 사무소),018
102,027206,경리 사무원(일반사업체),018
103,027207,경리 사무원(아파트·빌딩),018
104,027208,단순 경리 사무원,018
105,028100,무역 사무원,019
106,028101,무역 사무원(영어),019
107,028102,무역 사무원(중국어),019
108,028103,무역 사무원(일본어),019
109,028104,무역 사무원(기타 언어),019
110,028105,관세 사무원,019
111,028106,FTA 관리 사무원,019
112,028200,운송 사무원,019
113,028201,도로 운송 사무원(배차사무 포함),019
114,028202,철도·지하철 운송 사무원,019
115,028203,항공 운송 사무원,019
116,028204,수상 운송 사무원(해상 운송),019
117,028300,자재·구매·물류 사무원,019
118,028301,자재·구매 사무원(건설),019
119,028302,자재·구매 사무원(기계·자동차·금속),019
120,028303,자재·구매 사무원(화학·섬유·의류),019
121,028304,자재·구매 사무원(전기·전자·컴퓨터),019
122,028305,자재·구매 사무원(음식료품),019
123,028306,자재·구매 사무원(일반 사업체),019
124,028307,창고 관리원(자재 검수원 포함),019
125,028308,물류 사무원(물류 관리사),019
126,028400,생산·품질 사무원,019
127,028401,생산·품질 사무원 및 관리원(건설),019
128,028402,생산·품질 사무원 및 관리원(기계·자동차·금속),019
129,028403,생산·품질 사무원 및 관리원(화학·섬유·의료),019
130,028404,생산·품질 사무원 및 관리원(전기·전자·컴퓨터),019
131,028405,생산·품질 사무원 및 관리원(음식료품),019
132,028406,생산·품질 사무원 및 관리원(그 외 분야),019
133,029100,안내·접수원 및 전화교환원,01A
